sample	protocol	matrixdir
trio1.offspring	Maison-minus	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.offspring.Maison-minus/hic_results/matrix/raw
trio1.offspring	Maison-plus	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.offspring.Maison-plus/hic_results/matrix/raw
trio1.offspring	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.offspring.Arima/hic_results/matrix/raw
trio1.offspring	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.offspring.Dovetail/hic_results/matrix/raw
trio1.father	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.father.Maison/hic_results/matrix/raw
trio1.father	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.father.Arima/hic_results/matrix/raw
trio1.father	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.father.Dovetail/hic_results/matrix/raw
trio1.mother	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.mother.Maison/hic_results/matrix/raw
trio1.mother	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.mother.Arima/hic_results/matrix/raw
trio1.mother	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/work/trio1.mother.Dovetail/hic_results/matrix/raw
